,Compound,Negative,Neutral,Positive,Text,Time Sent,Tweet Count,User
89,0.0516,0.625,0.159,0.216,"Tai chi has been recommended to help people with the chronic pain condition fibromyalgia. 

https://t.co/uYDlKfWbt7 https://t.co/Y7P9ceP82j",Thu Mar 22 18:30:09 +0000 2018,500,BBC
90,-0.25,0.917,0.083,0.0,"The cost of living alone, rather than living as a couple, is more than £1000 a year. 💔🏠

This is the price of being… https://t.co/udzI9xGci6",Thu Mar 22 17:33:04 +0000 2018,500,BBC
91,0.0,1.0,0.0,0.0,.@ManUtd have applied to have a professional women's team. ⚽️ https://t.co/rxzdRsDhUd https://t.co/meO65NRCtm,Thu Mar 22 17:03:54 +0000 2018,500,BBC
92,0.128,0.795,0.092,0.113,"Worried about your impact on the planet? 🌍💚

This is how to make your next holiday more eco-friendly. ♻️🌴

👉… https://t.co/wCmDZJledV",Thu Mar 22 17:03:05 +0000 2018,500,BBC
93,-0.4753,0.872,0.128,0.0,"Think twice before you throw your kitchen waste in the bin! Here's how to grow plants from kitchen scraps. 🥕🥔🍎

👉… https://t.co/MMgrC8yseG",Thu Mar 22 16:04:06 +0000 2018,500,BBC
94,0.4184,0.859,0.0,0.141,"RT @mixital: 🗡️New #DoctorWho writing challenge!🗡️
Write a story featuring Rory Williams! Share it with us here: https://t.co/zW42ZnvJnc

#…",Thu Mar 22 15:00:43 +0000 2018,500,BBC
95,-0.9168,0.615,0.385,0.0,"Could you name the disaster that killed the most people in the last 100 years?

Contagion! The BBC Four Pandemic |… https://t.co/10zHfD8PHT",Thu Mar 22 15:00:01 +0000 2018,500,BBC
96,0.6705,0.594,0.1,0.306,"🎶Some musicians love doing them, others don’t.

Seven secretive musicians who like to avoid interviews:… https://t.co/7Rm55Ddynj",Thu Mar 22 14:30:10 +0000 2018,500,BBC
97,0.4215,0.882,0.0,0.118,"RT @BBCEarth: Today is #WorldWaterDay. This teen has an ingenious way to test the safety of water around the world 
@BBC_Future https://t.c…",Thu Mar 22 13:53:48 +0000 2018,500,BBC
98,-0.4767,0.871,0.129,0.0,"Has @chrishughes_22 read any of his own book? 😂🤦

Here's what he confessed when he took on @BBCR1's fake lie detect… https://t.co/tVaKesbKQ1",Thu Mar 22 13:33:04 +0000 2018,500,BBC
